Brand,Year,Age,Engine_Size,Horsepower,Mileage,Fuel_Efficiency,Owners,Condition,Fuel_Type,Transmission,Price
Nissan,2015,9,1.6,99,107260,36.1,3,7.9,Petrol,Automatic,3600
Nissan,2016,8,4.5,267,98118,20.8,3,9.2,Petrol,Manual,6800
Audi,2018,6,3.0,164,68459,29.4,1,9.1,Petrol,Manual,17000
Honda,2020,4,1.6,94,40289,41.0,1,10.0,Electric,Automatic,18200
Mazda,2017,7,3.0,170,80184,29.8,1,7.5,Electric,Manual,7100
Chevrolet,2011,13,2.0,119,147515,35.2,5,3.9,Petrol,Automatic,1100
Tesla,2012,12,5.0,315,143045,13.7,2,6.8,Petrol,Automatic,15300
BMW,2017,7,1.2,98,80787,46.0,1,9.7,Hybrid,Automatic,16500
Toyota,2018,6,3.0,182,60156,30.5,2,10.0,Diesel,Automatic,12200
Volkswagen,2016,8,3.5,205,106544,26.9,1,6.3,Diesel,Automatic,5100
Volkswagen,2019,5,2.0,121,62956,33.0,1,8.9,Petrol,Automatic,9000
BMW,2023,1,1.4,74,6608,40.9,1,10.0,Hybrid,Automatic,44600
Mazda,2012,12,4.0,243,136820,23.3,2,6.9,Petrol,Automatic,3800
Hyundai,2023,1,1.8,102,17389,41.4,1,10.0,Diesel,Automatic,17200
Subaru,2010,14,3.0,162,176291,27.9,2,5.7,Hybrid,Automatic,2800
Subaru,2016,8,1.8,131,93942,36.9,2,7.3,Diesel,Automatic,5400
Mazda,2023,1,1.2,81,6006,40.2,1,10.0,Hybrid,Automatic,23600
BMW,2016,8,1.6,106,91462,39.9,1,9.1,Petrol,Automatic,12100
Tesla,2017,7,4.5,271,79838,20.6,2,10.0,Petrol,Automatic,37000
Kia,2022,2,1.8,119,25138,38.1,1,10.0,Petrol,Automatic,14800
Ford,2012,12,4.5,272,134034,17.8,3,6.8,Petrol,Automatic,3500
Ford,2017,7,2.0,133,69077,37.0,2,10.0,Petrol,Manual,7100
Audi,2021,3,1.4,99,25116,37.7,2,10.0,Petrol,Automatic,28800
Toyota,2021,3,3.0,178,43012,32.1,1,10.0,Petrol,Automatic,19600
Kia,2017,7,2.0,75,96059,38.8,2,8.3,Petrol,Automatic,4000
Toyota,2012,12,5.0,294,149753,21.2,3,7.0,Hybrid,Automatic,5700
Toyota,2015,9,3.5,193,109475,28.2,2,9.3,Petrol,Automatic,7100
Toyota,2013,11,2.0,124,133293,35.7,2,6.4,Petrol,Manual,3100
Volkswagen,2016,8,1.6,97,86876,38.6,3,10.0,Hybrid,Automatic,6600
Hyundai,2013,11,1.0,60,128934,38.8,2,7.1,Petrol,Manual,2000
Toyota,2017,7,5.0,289,93886,22.5,3,9.3,Petrol,Automatic,10500
Mercedes,2021,3,4.0,229,43572,28.6,2,10.0,Petrol,Automatic,46000
Mercedes,2019,5,1.8,84,57466,38.9,1,8.6,Hybrid,Automatic,21700
Kia,2022,2,1.0,60,34406,44.4,1,10.0,Petrol,Manual,11500
Subaru,2010,14,1.8,114,162666,34.7,4,5.0,Petrol,Automatic,1700
Mercedes,2020,4,1.2,72,52468,41.0,2,10.0,Petrol,Automatic,26400
Chevrolet,2013,11,1.4,104,143590,36.5,5,6.0,Hybrid,Automatic,2200
Ford,2013,11,2.0,137,144865,34.0,5,6.1,Diesel,Manual,2400
Honda,2012,12,2.0,97,135230,30.7,3,6.7,Diesel,Automatic,2800
Kia,2015,9,1.2,60,86841,40.4,3,8.6,Diesel,Automatic,2800
Audi,2015,9,4.0,223,107434,29.2,5,8.3,Petrol,Automatic,12900
Ford,2019,5,4.5,285,70847,21.6,1,9.0,Petrol,Automatic,12300
Nissan,2022,2,4.5,262,22217,22.4,1,9.5,Petrol,Manual,19900
Subaru,2014,10,1.6,62,132613,36.0,5,7.2,Petrol,Automatic,3900
Mazda,2016,8,3.5,226,90207,27.8,3,8.9,Hybrid,Automatic,7900
Mercedes,2020,4,4.5,267,47741,26.8,2,10.0,Petrol,Automatic,42400
Volkswagen,2021,3,1.6,95,36413,41.8,1,10.0,Diesel,Manual,14100
Audi,2023,1,3.0,177,3652,33.1,1,10.0,Petrol,Manual,45200
Audi,2023,1,4.0,252,20415,30.6,1,10.0,Petrol,Automatic,57300
Chevrolet,2012,12,4.0,229,134424,24.3,2,7.0,Petrol,Automatic,3400
BMW,2015,9,1.6,83,90239,40.3,3,8.4,Petrol,Automatic,9200
Chevrolet,2013,11,3.5,202,117718,29.3,2,5.5,Petrol,Automatic,2600
Mercedes,2019,5,1.6,127,56232,38.9,2,10.0,Petrol,Manual,19800
Ford,2018,6,1.8,101,79123,44.8,2,8.6,Petrol,Automatic,6400
Mazda,2016,8,1.8,111,79299,35.4,3,9.8,Petrol,Automatic,6000
Toyota,2010,14,4.5,279,160757,22.3,5,5.2,Petrol,Manual,2500
Toyota,2022,2,3.0,179,15917,36.1,1,10.0,Petrol,Automatic,26200
Honda,2019,5,3.5,206,65334,29.0,2,10.0,Hybrid,Automatic,16600
Ford,2021,3,1.6,94,30541,37.9,1,10.0,Hybrid,Automatic,16700
Chevrolet,2022,2,2.5,138,24005,37.1,1,10.0,Petrol,Automatic,16300
Chevrolet,2022,2,1.6,91,32811,43.1,1,10.0,Diesel,Automatic,14200
Audi,2022,2,4.5,257,20246,24.8,1,10.0,Diesel,Automatic,53500
Toyota,2018,6,2.0,116,74314,38.9,1,9.8,Petrol,Manual,9000
Nissan,2010,14,1.8,94,181554,37.5,4,5.4,Hybrid,Automatic,1600
Mercedes,2011,13,1.8,111,142110,32.7,4,4.8,Petrol,Automatic,4300
Mercedes,2017,7,4.5,286,84911,22.3,3,9.9,Petrol,Automatic,25200
Ford,2010,14,1.4,99,176428,39.6,5,6.4,Diesel,Automatic,1700
Mercedes,2012,12,2.0,121,142286,37.4,5,7.1,Petrol,Automatic,7200
Chevrolet,2017,7,4.0,246,65934,27.1,3,9.8,Petrol,Manual,9500
Audi,2012,12,5.0,288,143552,18.8,4,6.1,Petrol,Automatic,7700
Mercedes,2010,14,4.0,252,156963,23.4,4,6.8,Petrol,Manual,6900
Kia,2015,9,5.0,310,105573,17.4,3,9.1,Diesel,Automatic,5600
Volkswagen,2015,9,3.5,226,102806,27.0,5,6.0,Hybrid,Automatic,4800
Toyota,2013,11,1.4,60,125140,34.7,5,6.8,Electric,Manual,3900
Mercedes,2013,11,4.0,262,133725,26.0,3,6.4,Petrol,Automatic,9800
Honda,2015,9,4.5,257,104384,19.6,2,7.6,Diesel,Automatic,6300
Tesla,2022,2,3.0,176,25848,38.2,1,10.0,Hybrid,Automatic,89700
Volkswagen,2022,2,1.4,80,12506,39.7,1,10.0,Hybrid,Automatic,20700
Mazda,2015,9,4.5,274,94080,20.0,4,8.4,Petrol,Automatic,6400
BMW,2011,13,1.8,113,151107,29.9,3,7.0,Petrol,Automatic,5500
Honda,2013,11,2.5,143,126498,31.6,4,6.8,Diesel,Automatic,3200
Volkswagen,2020,4,4.0,219,45309,28.1,2,8.6,Diesel,Automatic,15100
Hyundai,2014,10,2.5,158,125623,31.3,4,6.1,Diesel,Automatic,2700
Subaru,2015,9,1.8,129,113542,31.9,4,8.2,Petrol,Automatic,5100
Ford,2015,9,5.0,312,110861,13.0,4,7.4,Petrol,Automatic,6000
Ford,2014,10,1.4,85,112654,41.0,5,7.4,Petrol,Manual,2500
Kia,2020,4,3.0,200,43454,32.3,2,10.0,Petrol,Manual,11800
Mercedes,2014,10,4.5,266,114986,19.6,5,7.9,Diesel,Automatic,12700
Chevrolet,2021,3,1.0,60,41290,43.7,1,9.3,Petrol,Manual,9400
Honda,2011,13,4.0,218,182450,20.8,4,4.7,Hybrid,Automatic,2600
Subaru,2021,3,3.0,180,20727,28.4,1,10.0,Petrol,Automatic,23400
Volkswagen,2021,3,5.0,318,38829,24.5,1,10.0,Electric,Automatic,28500
Mercedes,2022,2,2.5,181,17326,36.8,1,10.0,Electric,Manual,62000
Audi,2016,8,2.0,140,84312,28.1,2,7.8,Hybrid,Automatic,12500
Audi,2016,8,4.5,251,82030,24.5,3,7.7,Petrol,Manual,14200
Nissan,2015,9,4.5,279,125786,25.0,5,8.5,Petrol,Automatic,5900
Volkswagen,2010,14,5.0,296,149525,18.4,3,6.1,Petrol,Manual,2500
Nissan,2023,1,1.2,60,11381,46.1,1,10.0,Petrol,Automatic,16400
Subaru,2010,14,5.0,300,170279,15.1,5,6.8,Petrol,Automatic,3800
Ford,2018,6,1.0,60,67141,43.6,2,8.7,Petrol,Automatic,5400
Hyundai,2020,4,2.5,177,57159,37.7,1,9.7,Petrol,Automatic,9900
Chevrolet,2017,7,3.5,193,73696,26.4,1,7.4,Hybrid,Automatic,7300
Honda,2022,2,1.6,107,30494,39.9,1,10.0,Petrol,Manual,17800
Subaru,2013,11,3.0,152,121413,35.5,5,7.2,Petrol,Automatic,4300
Mazda,2019,5,1.4,86,55551,37.8,1,10.0,Diesel,Automatic,9400
Kia,2016,8,2.0,105,92250,34.1,1,7.3,Petrol,Automatic,3200
Tesla,2018,6,1.6,86,65720,42.2,3,9.1,Electric,Automatic,37200
Ford,2010,14,3.5,205,172631,24.4,2,7.8,Petrol,Automatic,2800
Hyundai,2015,9,3.0,188,104056,30.0,3,8.1,Petrol,Automatic,4700
Ford,2020,4,2.0,119,46698,38.7,1,9.7,Diesel,Automatic,11500
Nissan,2016,8,3.5,215,96339,29.0,2,8.8,Petrol,Manual,5400
Nissan,2010,14,4.5,269,167578,22.0,3,4.7,Diesel,Manual,1700
Toyota,2012,12,1.8,135,142495,37.0,3,7.8,Petrol,Automatic,3500
Tesla,2013,11,2.5,126,140977,30.5,4,6.8,Diesel,Automatic,11400
Subaru,2018,6,1.2,60,66754,45.1,2,9.4,Petrol,Manual,8100
Mazda,2018,6,1.2,69,59405,39.0,3,9.2,Petrol,Manual,7300
Subaru,2013,11,1.8,133,144413,34.5,2,7.5,Petrol,Automatic,4000
Kia,2016,8,1.2,75,101420,37.5,1,9.4,Petrol,Automatic,3800
Tesla,2018,6,1.8,105,78955,46.7,2,8.7,Petrol,Manual,24600
Honda,2016,8,1.0,71,86063,37.8,3,7.7,Petrol,Automatic,4300
Chevrolet,2021,3,2.0,124,33420,37.4,2,10.0,Petrol,Automatic,13300
Audi,2022,2,4.0,244,28303,28.7,1,10.0,Diesel,Manual,44300
Audi,2017,7,2.0,135,86482,31.6,2,9.8,Petrol,Automatic,14300
Hyundai,2020,4,5.0,279,49597,21.0,2,10.0,Petrol,Automatic,13800
Honda,2010,14,1.2,70,157436,33.8,3,6.4,Hybrid,Automatic,2100
Audi,2012,12,3.5,217,139321,24.1,4,6.4,Petrol,Automatic,7000
Mercedes,2017,7,4.0,223,99698,26.7,2,8.6,Hybrid,Automatic,22600
BMW,2016,8,5.0,287,81372,23.8,3,6.1,Diesel,Automatic,13100
Volkswagen,2015,9,2.0,99,115903,39.4,3,7.6,Diesel,Manual,3600
Toyota,2016,8,2.5,147,100121,35.2,1,8.4,Diesel,Automatic,7300
Mazda,2022,2,4.0,242,30239,32.9,1,10.0,Diesel,Automatic,27200
Kia,2011,13,4.5,266,150717,24.1,4,4.4,Diesel,Automatic,1700
Volkswagen,2010,14,1.0,88,161856,35.9,3,6.0,Diesel,Automatic,1500
Mazda,2020,4,5.0,297,33668,21.4,2,10.0,Diesel,Automatic,21200
Kia,2010,14,4.5,250,169428,18.8,4,3.9,Diesel,Manual,1200
Hyundai,2011,13,3.5,220,150128,23.7,3,5.6,Electric,Manual,2500
Audi,2022,2,3.0,204,14724,37.2,1,10.0,Hybrid,Manual,50100
Chevrolet,2011,13,4.5,279,171094,20.3,2,4.0,Hybrid,Manual,2100
Mazda,2021,3,1.0,60,30241,34.8,2,10.0,Petrol,Automatic,13900
Tesla,2012,12,4.5,277,148508,16.5,5,7.5,Hybrid,Automatic,17600
Kia,2015,9,4.0,238,97698,32.7,3,6.7,Diesel,Automatic,3900
Kia,2023,1,2.5,142,11848,34.5,1,10.0,Diesel,Automatic,19800
Toyota,2021,3,4.0,246,54555,29.2,2,10.0,Diesel,Automatic,22800
Tesla,2011,13,4.0,254,160624,20.0,4,6.1,Hybrid,Automatic,12800
Mazda,2012,12,1.2,78,144263,40.2,2,7.4,Diesel,Automatic,2500
Audi,2012,12,2.0,126,140184,33.3,2,5.6,Petrol,Automatic,5000
BMW,2018,6,1.4,71,66193,38.2,1,10.0,Diesel,Automatic,17800
Subaru,2012,12,2.5,150,151688,29.7,3,6.9,Hybrid,Automatic,4100
Hyundai,2013,11,1.2,87,135556,39.1,2,6.1,Petrol,Automatic,2000
Hyundai,2021,3,3.5,186,29370,32.2,1,10.0,Hybrid,Manual,17400
Mazda,2015,9,1.2,60,112435,34.4,3,6.4,Diesel,Automatic,3000
Subaru,2021,3,2.0,128,33676,38.6,2,10.0,Petrol,Automatic,17600
Mercedes,2014,10,3.5,228,119000,22.7,4,8.1,Petrol,Automatic,13600
Kia,2020,4,4.0,263,48287,28.4,1,9.7,Diesel,Automatic,11800
Audi,2017,7,1.0,60,79191,43.6,1,10.0,Hybrid,Automatic,13200
Honda,2023,1,3.0,193,14717,33.0,1,10.0,Electric,Automatic,38000
Subaru,2017,7,3.5,251,92622,24.8,1,8.1,Petrol,Manual,8100
Volkswagen,2017,7,1.2,71,77111,41.1,2,9.6,Petrol,Automatic,5700
Kia,2019,5,5.0,277,62394,23.7,2,10.0,Petrol,Automatic,10700
Kia,2019,5,3.0,175,59090,34.8,1,10.0,Hybrid,Automatic,10700
BMW,2023,1,1.2,84,11168,47.1,1,10.0,Petrol,Automatic,43000
Chevrolet,2014,10,2.0,96,118550,33.7,2,7.3,Petrol,Manual,3000
Subaru,2016,8,4.5,267,102336,21.4,3,9.8,Hybrid,Manual,11200
Volkswagen,2014,10,2.0,140,134976,34.3,2,6.0,Diesel,Automatic,2900
Toyota,2016,8,3.0,183,102698,31.6,3,9.1,Diesel,Manual,7100
Ford,2015,9,1.4,68,90906,40.5,2,6.4,Hybrid,Manual,3300
Chevrolet,2022,2,3.5,198,20192,29.9,1,10.0,Petrol,Manual,19300
Toyota,2016,8,4.0,243,106561,29.3,1,7.9,Petrol,Automatic,7500
Tesla,2016,8,3.0,178,97502,25.1,3,8.7,Diesel,Automatic,24800
Nissan,2013,11,5.0,324,130453,21.9,3,7.1,Petrol,Manual,3400
Volkswagen,2019,5,2.5,169,54556,37.8,1,9.5,Hybrid,Automatic,11200
Honda,2023,1,1.6,110,4880,36.9,1,10.0,Petrol,Automatic,23700
Kia,2019,5,3.5,217,78134,29.0,2,10.0,Petrol,Automatic,9400
Mazda,2014,10,1.8,118,118673,30.6,3,7.0,Petrol,Automatic,3300
Toyota,2013,11,4.0,254,132646,19.5,2,6.7,Diesel,Automatic,4700
Tesla,2023,1,2.5,150,5679,36.1,1,10.0,Petrol,Automatic,98300
Kia,2014,10,1.4,108,124940,29.4,4,7.3,Diesel,Automatic,2700
BMW,2022,2,1.0,60,29583,49.6,1,10.0,Diesel,Automatic,32000
Toyota,2016,8,1.6,68,90824,37.1,1,8.8,Diesel,Automatic,5700
Tesla,2020,4,1.4,83,46223,45.3,1,10.0,Hybrid,Manual,48000
Nissan,2020,4,2.5,126,18955,37.3,2,10.0,Diesel,Automatic,13400
Honda,2021,3,3.0,204,42219,31.2,2,10.0,Petrol,Automatic,18500
Ford,2012,12,1.2,77,136496,34.3,5,5.8,Hybrid,Manual,2100
Mazda,2015,9,2.5,145,103693,34.2,4,7.3,Petrol,Automatic,4200
Volkswagen,2016,8,1.2,60,97221,44.6,2,7.9,Petrol,Automatic,4300
Nissan,2016,8,2.5,143,97856,38.0,2,8.8,Petrol,Automatic,4900
Ford,2012,12,2.0,139,136435,35.1,2,5.7,Diesel,Automatic,2000
Chevrolet,2019,5,2.5,135,69340,37.4,1,10.0,Petrol,Automatic,9000
Nissan,2012,12,1.4,82,125798,35.5,5,5.1,Diesel,Automatic,1400
Chevrolet,2023,1,4.5,253,16981,28.9,1,10.0,Electric,Automatic,33800
Nissan,2019,5,2.0,112,69370,35.7,1,10.0,Petrol,Automatic,9100
Mercedes,2022,2,1.4,60,20826,44.8,1,10.0,Diesel,Automatic,37100
Nissan,2022,2,2.5,150,28057,35.9,1,10.0,Petrol,Automatic,15900
Volkswagen,2016,8,2.5,140,99179,35.4,2,8.9,Diesel,Automatic,5700
Toyota,2013,11,1.0,60,149184,32.0,4,7.0,Petrol,Manual,2900
Nissan,2021,3,1.2,67,34019,41.4,2,10.0,Diesel,Automatic,11800
BMW,2016,8,1.6,84,89331,38.6,2,7.1,Petrol,Automatic,9400
Nissan,2015,9,1.8,110,113852,38.0,4,8.5,Diesel,Automatic,3800
Audi,2013,11,1.4,87,136685,41.4,4,7.5,Electric,Automatic,8800
Nissan,2013,11,4.5,281,135588,30.9,5,7.8,Electric,Automatic,5200
Ford,2011,13,1.2,70,157413,35.5,3,5.6,Petrol,Automatic,1500
Kia,2011,13,5.0,310,154404,20.4,4,5.6,Petrol,Automatic,2400
Mercedes,2021,3,4.0,258,28385,27.4,1,10.0,Electric,Automatic,63500
Nissan,2014,10,1.2,86,125293,37.6,3,5.7,Hybrid,Automatic,2600
Mercedes,2014,10,3.0,170,117874,33.5,2,9.9,Diesel,Automatic,15300
Mercedes,2013,11,1.6,90,119532,36.1,2,7.5,Petrol,Manual,8000
Toyota,2018,6,3.5,214,71376,31.0,1,10.0,Diesel,Automatic,13400
Audi,2019,5,1.6,110,49023,42.7,1,9.0,Electric,Automatic,25500
Mercedes,2014,10,1.2,91,122068,37.3,3,6.9,Diesel,Automatic,8200
Toyota,2014,10,1.6,105,126902,38.7,2,6.3,Hybrid,Manual,3700
Volkswagen,2013,11,3.0,171,135954,26.6,3,7.0,Petrol,Automatic,3500
Kia,2012,12,1.6,63,132058,33.1,4,5.0,Hybrid,Automatic,1500
Toyota,2014,10,1.2,66,119507,40.5,5,7.6,Petrol,Manual,3200
Mazda,2015,9,1.6,116,104458,34.1,2,8.4,Diesel,Manual,4100
Hyundai,2011,13,2.0,112,148833,31.4,5,4.5,Petrol,Automatic,1300
Volkswagen,2012,12,3.5,182,135208,32.3,3,6.0,Diesel,Manual,2600
Ford,2020,4,1.8,110,45861,42.9,1,8.5,Petrol,Automatic,8800
Kia,2019,5,4.5,271,58852,22.3,2,10.0,Hybrid,Manual,11600
Kia,2022,2,1.6,79,13943,42.1,1,10.0,Diesel,Automatic,14400
Mazda,2019,5,2.0,131,54293,40.1,2,8.6,Petrol,Manual,9100
BMW,2022,2,3.5,229,24736,31.1,1,9.9,Diesel,Manual,46500
Subaru,2023,1,3.5,192,30205,30.3,1,10.0,Petrol,Manual,28700
Honda,2011,13,1.8,93,173760,33.1,5,6.0,Petrol,Automatic,2300
Ford,2022,2,1.4,104,22915,46.1,1,10.0,Diesel,Automatic,17700
Audi,2011,13,4.0,217,159811,20.4,5,5.0,Diesel,Automatic,5100
Tesla,2011,13,3.5,224,168429,27.0,5,6.1,Diesel,Automatic,10100
Audi,2021,3,3.5,210,24449,29.7,2,10.0,Hybrid,Automatic,43400
Mercedes,2022,2,5.0,291,43482,19.7,1,10.0,Diesel,Automatic,58100
Toyota,2010,14,2.0,122,175063,31.8,3,7.3,Diesel,Automatic,2500
Kia,2010,14,2.5,139,160033,30.1,3,6.6,Diesel,Automatic,1600
Audi,2017,7,1.2,73,83268,42.8,2,8.1,Petrol,Automatic,10700
Subaru,2011,13,1.4,79,155191,35.4,5,7.0,Diesel,Manual,2300
Mazda,2013,11,1.8,118,123241,34.9,2,5.7,Electric,Automatic,3000
Chevrolet,2020,4,2.5,156,51885,34.3,1,10.0,Petrol,Manual,10400
Audi,2011,13,2.0,101,153265,36.7,2,6.2,Diesel,Manual,4500
Ford,2015,9,4.0,243,116097,25.3,4,7.8,Diesel,Automatic,5600
Tesla,2023,1,2.0,128,0,42.8,1,10.0,Diesel,Automatic,92700
Hyundai,2011,13,3.0,190,157117,31.5,2,6.4,Electric,Automatic,2800
Chevrolet,2011,13,3.5,218,171926,26.1,3,6.6,Diesel,Automatic,2400
Ford,2021,3,3.5,213,29244,32.4,1,10.0,Petrol,Automatic,15700
Mercedes,2010,14,3.0,181,188586,28.8,5,5.2,Hybrid,Automatic,5600
Mazda,2023,1,3.0,178,3952,35.8,1,10.0,Hybrid,Automatic,30800
Hyundai,2019,5,3.0,172,55308,36.2,2,8.9,Petrol,Manual,8600
Honda,2022,2,2.5,153,35056,29.9,1,10.0,Petrol,Automatic,21800
Tesla,2022,2,1.2,77,36086,42.9,1,10.0,Petrol,Automatic,61100
Toyota,2012,12,4.5,273,152005,29.3,3,7.8,Petrol,Automatic,4700
Subaru,2023,1,1.0,60,11481,44.1,1,10.0,Petrol,Automatic,24700
Honda,2020,4,1.6,83,42141,34.6,1,10.0,Petrol,Automatic,13100
Mercedes,2016,8,1.0,60,97154,41.2,1,8.0,Hybrid,Automatic,12300
Kia,2017,7,4.5,269,70714,26.0,2,8.6,Petrol,Automatic,6000
Tesla,2013,11,2.0,113,128216,34.9,2,6.7,Hybrid,Automatic,11900
Audi,2013,11,2.5,153,122524,28.8,2,7.4,Diesel,Manual,7800
Audi,2020,4,4.0,237,27455,35.1,2,9.7,Diesel,Automatic,38900
Ford,2018,6,1.4,91,62225,41.6,3,8.5,Petrol,Automatic,6200
Mercedes,2014,10,5.0,306,125489,21.0,5,4.8,Electric,Manual,11400
Kia,2011,13,1.0,60,152804,35.4,3,5.4,Diesel,Automatic,1200
Honda,2016,8,1.0,60,86023,41.0,2,7.8,Petrol,Manual,4400
BMW,2017,7,3.0,180,93716,34.1,2,8.1,Petrol,Automatic,14200
Kia,2015,9,1.8,106,91114,33.1,2,7.5,Diesel,Automatic,3000
Kia,2018,6,1.8,117,81282,36.5,3,8.2,Diesel,Manual,4900
Volkswagen,2014,10,1.4,60,95843,38.1,3,7.7,Diesel,Automatic,3400
Audi,2016,8,2.5,151,87009,36.1,2,9.1,Petrol,Manual,13000
Nissan,2017,7,4.0,242,94965,19.9,3,9.0,Electric,Automatic,9600
Ford,2023,1,2.0,120,24299,42.4,1,10.0,Petrol,Automatic,19400
Honda,2021,3,2.5,139,41775,39.9,1,10.0,Hybrid,Automatic,20200
Nissan,2010,14,4.5,254,146982,17.9,2,5.3,Petrol,Automatic,1900
Chevrolet,2011,13,3.5,214,166101,22.4,3,4.7,Diesel,Automatic,1900
Nissan,2012,12,1.0,63,131935,38.0,3,6.2,Diesel,Automatic,1800
Chevrolet,2015,9,3.5,176,97128,26.3,2,9.5,Petrol,Automatic,5700
Hyundai,2022,2,1.0,60,16327,49.8,1,10.0,Petrol,Automatic,13100
Hyundai,2020,4,2.0,127,42611,33.2,2,9.7,Petrol,Automatic,10700
Mazda,2021,3,3.0,184,28914,37.0,2,10.0,Petrol,Manual,17900
Subaru,2020,4,2.5,154,42445,35.6,1,10.0,Petrol,Automatic,18200
Honda,2022,2,2.5,157,20016,36.8,1,10.0,Diesel,Manual,22300
Tesla,2010,14,1.6,113,170050,37.2,4,6.2,Electric,Automatic,9000
BMW,2022,2,5.0,315,37624,24.9,1,10.0,Diesel,Automatic,57500
Mercedes,2023,1,3.0,172,27080,32.9,1,10.0,Petrol,Automatic,48000
Kia,2022,2,1.0,81,26320,45.5,1,10.0,Diesel,Automatic,12200
Subaru,2018,6,1.6,90,70614,37.7,3,8.2,Petrol,Automatic,7500
Hyundai,2016,8,1.2,62,104427,42.8,1,6.6,Petrol,Automatic,2800
Kia,2013,11,2.0,133,123030,37.0,2,8.4,Diesel,Automatic,2800
Hyundai,2019,5,4.5,275,66889,22.0,2,10.0,Petrol,Automatic,11800
Tesla,2010,14,4.5,270,180045,21.0,4,8.0,Petrol,Automatic,13100
Nissan,2015,9,1.6,76,99697,38.4,3,7.8,Petrol,Automatic,3200
Mazda,2020,4,1.0,74,55061,46.6,2,10.0,Diesel,Automatic,10400
Chevrolet,2014,10,1.0,61,109750,40.7,3,6.2,Petrol,Automatic,2200
Nissan,2016,8,1.0,60,93243,40.6,3,6.8,Electric,Manual,3600
Tesla,2016,8,3.5,211,84352,28.8,3,8.9,Petrol,Manual,25100
Audi,2012,12,4.0,241,157483,26.1,4,5.6,Diesel,Manual,6200
Subaru,2014,10,1.0,73,129036,39.3,2,6.9,Diesel,Automatic,3500
Mercedes,2020,4,4.5,266,70758,22.9,2,10.0,Petrol,Automatic,37000
Hyundai,2018,6,1.0,62,101181,41.4,1,8.3,Petrol,Automatic,4200
Hyundai,2023,1,4.5,256,18287,25.9,1,10.0,Petrol,Automatic,26900
Chevrolet,2013,11,2.0,128,150014,30.6,4,4.8,Diesel,Automatic,1900
Mazda,2023,1,3.0,163,4125,30.3,1,10.0,Hybrid,Automatic,31000
Volkswagen,2019,5,1.2,60,52510,38.6,1,10.0,Diesel,Automatic,8700
Toyota,2023,1,1.4,61,6140,41.5,1,10.0,Diesel,Automatic,23500
Hyundai,2016,8,1.6,97,81201,32.9,2,8.2,Hybrid,Automatic,4300
Toyota,2015,9,1.2,74,99556,41.4,2,6.7,Petrol,Automatic,3600
Mercedes,2015,9,1.4,103,109693,39.8,4,7.4,Petrol,Automatic,10200
Toyota,2022,2,1.2,68,46331,40.3,1,10.0,Diesel,Manual,14400
Nissan,2015,9,1.4,83,99063,41.2,3,6.8,Diesel,Automatic,2800
Tesla,2013,11,1.2,63,120118,38.7,3,6.5,Diesel,Automatic,9000
Honda,2014,10,1.6,86,129824,40.9,3,7.0,Petrol,Automatic,3200
Kia,2011,13,2.0,130,144002,35.6,4,5.9,Diesel,Automatic,1500
Kia,2021,3,4.5,279,30084,24.9,2,10.0,Hybrid,Automatic,21000
Tesla,2022,2,4.0,258,8813,26.3,1,10.0,Hybrid,Automatic,112300
Chevrolet,2014,10,1.4,94,122787,37.4,3,6.8,Petrol,Manual,2400
BMW,2010,14,1.4,96,187072,31.7,3,6.5,Petrol,Manual,4300
Nissan,2018,6,4.0,225,67487,29.0,2,9.3,Hybrid,Automatic,10600
Hyundai,2021,3,1.4,75,35284,44.9,1,10.0,Diesel,Automatic,12000
BMW,2018,6,4.0,212,77369,30.7,3,9.2,Hybrid,Automatic,24500
Volkswagen,2015,9,1.8,98,117118,34.5,2,8.7,Diesel,Manual,4800
Chevrolet,2014,10,5.0,318,124211,22.4,4,5.5,Petrol,Automatic,3300
Subaru,2013,11,4.0,240,133940,27.8,4,6.5,Petrol,Automatic,4700
Toyota,2021,3,2.5,140,33073,33.9,1,10.0,Diesel,Automatic,20900
Toyota,2018,6,4.0,242,74521,30.8,2,8.5,Petrol,Automatic,10700
Hyundai,2012,12,3.5,218,149528,24.0,3,7.2,Petrol,Manual,2600
Honda,2022,2,1.8,133,28632,39.4,1,10.0,Petrol,Automatic,17900
Nissan,2013,11,1.6,76,110220,34.4,3,6.9,Petrol,Automatic,2400
Mercedes,2022,2,4.5,294,9792,30.7,1,10.0,Hybrid,Manual,71900
Chevrolet,2016,8,3.5,214,83461,28.5,1,8.8,Diesel,Automatic,5700
Honda,2015,9,2.0,105,100358,38.1,2,9.1,Petrol,Automatic,5300
Volkswagen,2022,2,1.0,60,12095,46.8,1,10.0,Hybrid,Automatic,19300
Kia,2017,7,4.0,239,85373,30.7,1,8.2,Petrol,Automatic,5600
Ford,2021,3,2.0,130,29870,38.3,1,10.0,Petrol,Manual,14300
Mazda,2020,4,1.6,104,55556,39.3,2,10.0,Hybrid,Automatic,13100
Nissan,2022,2,3.5,187,16045,33.6,1,10.0,Diesel,Automatic,20000
Volkswagen,2014,10,1.2,70,100326,38.9,3,8.3,Petrol,Manual,3600
Toyota,2010,14,3.0,174,162998,27.5,5,7.2,Petrol,Automatic,2900
Nissan,2014,10,1.0,72,120827,40.1,4,9.0,Hybrid,Automatic,3500
Audi,2013,11,4.0,230,133449,28.1,4,4.5,Petrol,Automatic,5600
